,content,topic
41,  Numeric literals containing a decimal point or an exponent sign yield floating point numbers,Built-in Types
42,  Appending 'j' or 'J' to a numeric literal yields an imaginary number (a complex number with a zero real part) which you can add to an integer or float to get a complex number with real and imaginary parts,Built-in Types
43," Python fully supports mixed arithmetic: when a binary arithmetic operator has operands of different numeric types, the operand with the “narrower” type is widened to that of the other, where integer is narrower than floating point, which is narrower than complex",Built-in Types
44, A comparison between numbers of different types behaves as though the exact values of those numbers were being compared,Built-in Types
45," 2 The constructors int(), float(), and complex() can be used to produce numbers of a specific type",Built-in Types
46," All numeric types (except complex) support the following operations (for priorities of the operations, see Operator precedence): Notes: All numbers",Built-in Types
47,Real types (int and float) also include the following operations: For additional numeric operations see the math and cmath modules,Built-in Types
48, Also referred to as integer division,Built-in Types
49,"  The resultant value is a whole integer, though the result’s type is not necessarily int",Built-in Types
50,"  The result is always rounded towards minus infinity: 1//2 is 0, (-1)//2 is -1, 1//(-2) is -1, and (-1)//(-2) is 0",Built-in Types
51, Not for complex numbers,Built-in Types
52,  Instead convert to floats using abs() if appropriate,Built-in Types
53, Conversion from floating point to integer may round or truncate as in C; see functions math,Built-in Types
54,floor() and math,Built-in Types
55,ceil() for well-defined conversions,Built-in Types
56,  float also accepts the strings “nan” and “inf” with an optional prefix “+” or “-” for Not a Number (NaN) and positive or negative infinity,Built-in Types
57," Python defines pow(0, 0) and 0 ** 0 to be 1, as is common for programming languages",Built-in Types
58, The numeric literals accepted include the digits 0 to 9 or any Unicode equivalent (code points with the Nd property),Built-in Types
59, See https://www,Built-in Types
60,unicode,Built-in Types
61,org/Public/14,Built-in Types
62,0,Built-in Types
63,0/ucd/extracted/DerivedNumericType,Built-in Types
64,txt for a complete list of code points with the Nd property,Built-in Types
65, ,Built-in Types
66, Python supports a concept of iteration over containers,Built-in Types
67,  This is implemented using two distinct methods; these are used to allow user-defined classes to support iteration,Built-in Types
68,"  Sequences, described below in more detail, always support the iteration methods",Built-in Types
69," One method needs to be defined for container objects to provide iterable support: The iterator objects themselves are required to support the following two methods, which together form the iterator protocol: Python defines several iterator objects to support iteration over general and specific sequence types, dictionaries, and other more specialized forms",Built-in Types
70,  The specific types are not important beyond their implementation of the iterator protocol,Built-in Types
71," Once an iterator’s __next__() method raises StopIteration, it must continue to do so on subsequent calls",Built-in Types
72, Implementations that do not obey this property are deemed broken,Built-in Types
73,,Built-in Types
74," There are three basic sequence types: lists, tuples, and range objects",Built-in Types
75, Additional sequence types tailored for processing of binary data and text strings are described in dedicated sections,Built-in Types
76,,Built-in Types
77," Textual data in Python is handled with str objects, or strings",Built-in Types
78, Strings are immutable sequences of Unicode code points,Built-in Types
79,  String literals are written in a variety of ways: Triple quoted strings may span multiple lines - all associated whitespace will be included in the string literal,Built-in Types
80, String literals that are part of a single expression and have only whitespace between them will be implicitly converted to a single string literal,Built-in Types
81," That is, (""spam "" ""eggs"") == ""spam eggs""",Built-in Types
82," See String and Bytes literals for more about the various forms of string literal, including supported escape sequences, and the r (“raw”) prefix that disables most escape sequence processing",Built-in Types
83, Strings may also be created from other objects using the str constructor,Built-in Types
84," Since there is no separate “character” type, indexing a string produces strings of length 1",Built-in Types
85," That is, for a non-empty string s, s[0] == s[0:1]",Built-in Types
86," There is also no mutable string type, but str",Built-in Types
87,join() or io,Built-in Types
88,StringIO can be used to efficiently construct strings from multiple fragments,Built-in Types
89,,Built-in Types
90, The core built-in types for manipulating binary data are bytes and bytearray,Built-in Types
91, They are supported by memoryview which uses the buffer protocol to access the memory of other binary objects without needing to make a copy,Built-in Types
92, The array module supports efficient storage of basic data types like 32-bit integers and IEEE754 double-precision floating values,Built-in Types
93,,Built-in Types
94, A set object is an unordered collection of distinct hashable objects,Built-in Types
95," Common uses include membership testing, removing duplicates from a sequence, and computing mathematical operations such as intersection, union, difference, and symmetric difference",Built-in Types
96," (For other containers see the built-in dict, list, and tuple classes, and the collections module",Built-in Types
97,") Like other collections, sets support x in set, len(set), and for x in set",Built-in Types
98,"  Being an unordered collection, sets do not record element position or order of insertion",Built-in Types
99,"  Accordingly, sets do not support indexing, slicing, or other sequence-like behavior",Built-in Types
100," There are currently two built-in set types, set and frozenset",Built-in Types
101, The set type is mutable — the contents can be changed using methods like add() and remove(),Built-in Types
102,"  Since it is mutable, it has no hash value and cannot be used as either a dictionary key or as an element of another set",Built-in Types
103,  The frozenset type is immutable and hashable — its contents cannot be altered after it is created; it can therefore be used as a dictionary key or as an element of another set,Built-in Types
104," Non-empty sets (not frozensets) can be created by placing a comma-separated list of elements within braces, for example: {'jack', 'sjoerd'}, in addition to the set constructor",Built-in Types
105, The constructors for both classes work the same:,Built-in Types
106, A mapping object maps hashable values to arbitrary objects,Built-in Types
107, Mappings are mutable objects,Built-in Types
108,"  There is currently only one standard mapping type, the dictionary",Built-in Types
109,"  (For other containers see the built-in list, set, and tuple classes, and the collections module",Built-in Types
110,) A dictionary’s keys are almost arbitrary values,Built-in Types
111,"  Values that are not hashable, that is, values containing lists, dictionaries or other mutable types (that are compared by value rather than by object identity) may not be used as keys",Built-in Types
112," Values that compare equal (such as 1, 1",Built-in Types
113,"0, and True) can be used interchangeably to index the same dictionary entry",Built-in Types
114,,Built-in Types
115, Python’s with statement supports the concept of a runtime context defined by a context manager,Built-in Types
116,"  This is implemented using a pair of methods that allow user-defined classes to define a runtime context that is entered before the statement body is executed and exited when the statement ends: Python defines several context managers to support easy thread synchronisation, prompt closure of files or other objects, and simpler manipulation of the active decimal arithmetic context",Built-in Types
117, The specific types are not treated specially beyond their implementation of the context management protocol,Built-in Types
118, See the contextlib module for some examples,Built-in Types
119, Python’s generators and the contextlib,Built-in Types
120,contextmanager decorator provide a convenient way to implement these protocols,Built-in Types
121,  If a generator function is decorated with the contextlib,Built-in Types
122,"contextmanager decorator, it will return a context manager implementing the necessary __enter__() and __exit__() methods, rather than the iterator produced by an undecorated generator function",Built-in Types
123, Note that there is no specific slot for any of these methods in the type structure for Python objects in the Python/C API,Built-in Types
124, Extension types wanting to define these methods must provide them as a normal Python accessible method,Built-in Types
125," Compared to the overhead of setting up the runtime context, the overhead of a single class dictionary lookup is negligible",Built-in Types
126,,Built-in Types
127, The core built-in types for type annotations are Generic Alias and Union,Built-in Types
128,,Built-in Types
129, The interpreter supports several other kinds of objects,Built-in Types
130, Most of these support only one or two operations,Built-in Types
131,,Built-in Types
132," The implementation adds a few special read-only attributes to several object types, where they are relevant",Built-in Types
133,  Some of these are not reported by the dir() built-in function,Built-in Types
134,,Built-in Types
135, CPython has a global limit for converting between int and str to mitigate denial of service attacks,Built-in Types
136, This limit only applies to decimal or other non-power-of-two number bases,Built-in Types
137," Hexadecimal, octal, and binary conversions are unlimited",Built-in Types
138, The limit can be configured,Built-in Types
139, The int type in CPython is an abitrary length number stored in binary form (commonly known as a “bignum”),Built-in Types
140," There exists no algorithm that can convert a string to a binary integer or a binary integer to a string in linear time, unless the base is a power of 2",Built-in Types
141, Even the best known algorithms for base 10 have sub-quadratic complexity,Built-in Types
142, Converting a large value such as int('1' * 500_000) can take over a second on a fast CPU,Built-in Types
143, Limiting conversion size offers a practical way to avoid CVE-2020-10735,Built-in Types
144, The limit is applied to the number of digit characters in the input or output string when a non-linear conversion algorithm would be involved,Built-in Types
145,  Underscores and the sign are not counted towards the limit,Built-in Types
146," When an operation would exceed the limit, a ValueError is raised: The default limit is 4300 digits as provided in sys",Built-in Types
147,int_info,Built-in Types
148,default_max_str_digits,Built-in Types
149, The lowest limit that can be configured is 640 digits as provided in sys,Built-in Types
150,int_info,Built-in Types
151,str_digits_check_threshold,Built-in Types
152, Verification:,Built-in Types
